City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
281,Rocha,UY,-34.4833,-54.3333,44.49,90,48,5.03,scattered clouds
282,Krasnyy Chikoy,RU,50.3643,108.7512,68.97,57,83,3.89,broken clouds
283,Midland,US,31.9974,-102.0779,101.07,18,20,8.01,few clouds
284,Beloha,MG,-25.1667,45.05,61.86,86,0,9.31,clear sky
285,Khandyga,RU,62.6667,135.6,76.3,47,100,10.56,overcast clouds
286,Chuy,UY,-33.6971,-53.4616,47.08,83,15,3.33,few clouds
287,Leningradskiy,RU,69.3833,178.4167,34.48,93,100,20.07,light snow
288,Guatire,VE,10.4762,-66.5427,73.31,99,76,3.15,broken clouds
289,Tankhoy,RU,51.5528,105.1306,58.86,99,100,5.57,overcast clouds
290,Kununurra,AU,-15.7667,128.7333,69.78,60,17,4.61,few clouds
291,Katakwi,UG,1.8911,33.9661,64.92,84,100,4.85,overcast clouds
292,Payson,US,40.0444,-111.7321,95.54,28,40,4.61,scattered clouds
293,Goderich,CA,43.7501,-81.7165,75.9,77,1,2.51,clear sky
294,Lumeje,AO,-11.55,20.7833,56.68,44,8,5.75,clear sky
295,Husavik,IS,66.0449,-17.3389,50.34,82,80,2.39,broken clouds
296,Puerto Colombia,CO,10.9878,-74.9547,80.69,85,99,21.56,overcast clouds
297,Lata,PT,40.1629,-8.3327,59.02,97,11,0.87,few clouds
298,Lompoc,US,34.6391,-120.4579,81.84,58,0,14.97,clear sky
299,Atambua,ID,-9.1061,124.8925,71.2,62,98,5.35,overcast clouds
300,Joshimath,IN,30.5667,79.5667,70.95,93,72,1.21,broken clouds
301,Saiha,IN,22.4833,92.9667,72.05,98,99,2.17,light rain
302,Watsa,CD,3.0372,29.5355,64.42,97,100,2.33,light rain
303,Baykit,RU,61.67,96.37,56.91,98,98,2.86,light rain
304,Itarema,BR,-2.9248,-39.9167,78.26,73,19,14.32,few clouds
305,Chapleau,CA,47.8405,-83.4034,74.34,69,51,10.74,broken clouds
306,Ostrovnoy,RU,68.0531,39.5131,53.53,84,13,6.44,few clouds
307,La Rioja,ES,42.25,-2.5,76.78,30,0,7.87,clear sky
308,Lazaro Cardenas,MX,17.9583,-102.2,83.89,73,100,6.76,overcast clouds
309,Lebanon,US,36.2081,-86.2911,83.44,80,100,6.91,overcast clouds
310,Ahuimanu,US,21.4447,-157.8378,85.75,70,75,17.27,broken clouds
311,Adrar,MR,20.5022,-10.0711,95.5,15,56,2.57,broken clouds
312,Keller,US,32.9346,-97.2517,108.55,27,40,17.27,scattered clouds
313,Saint-Pierre,RE,-21.3393,55.4781,67.91,72,0,20.71,clear sky
314,Santa Barbara,US,34.7333,-120.0343,99.34,20,0,8.05,clear sky
315,Pasni,PK,25.2631,63.471,82.87,89,54,13.78,broken clouds
316,Quelimane,MZ,-17.8786,36.8883,65.14,95,3,1.36,clear sky
317,Surok,RU,56.4469,48.1214,61.25,99,99,3.0,light rain
318,Dafeng,CN,23.4517,108.5881,82.06,89,100,6.02,overcast clouds
319,Fare,PF,-16.7,-151.0167,75.58,71,8,3.58,clear sky
320,Virginia Beach,US,36.8529,-75.978,90.01,72,75,8.05,broken clouds
321,Astaneh-Ye Ashrafiyeh,IR,37.2596,49.9444,78.42,58,0,2.75,clear sky
322,Strezhevoy,RU,60.7333,77.5889,58.55,70,100,6.29,overcast clouds
323,Havre-Saint-Pierre,CA,50.2334,-63.5986,60.39,87,69,10.8,broken clouds
324,Lukovetskiy,RU,64.2956,41.9211,56.84,72,100,4.88,overcast clouds
325,Kidal,ML,18.4411,1.4078,82.83,54,98,21.92,overcast clouds
326,Betong,TH,5.7743,101.0723,73.78,99,96,0.6,overcast clouds
327,Kodinsk,RU,58.6881,99.1844,56.59,88,27,5.7,scattered clouds
328,Shingu,JP,33.7333,135.9833,79.9,89,100,8.97,light rain
329,Teguise,ES,29.0605,-13.564,68.22,83,20,21.85,few clouds
330,Caucaia,BR,-3.7361,-38.6531,77.04,74,5,6.85,clear sky
331,Romny,UA,50.751,33.4747,52.74,92,16,5.41,few clouds
332,Nyurba,RU,63.2842,118.3319,64.67,75,92,7.94,overcast clouds
333,Aquiraz,BR,-3.9014,-38.3911,77.18,82,8,9.44,clear sky
334,Thessalon,CA,46.2501,-83.5666,79.09,71,2,13.22,clear sky
335,Casale Monferrato,IT,45.1334,8.4571,80.35,71,4,7.54,clear sky
336,Ca Mau,VN,9.1769,105.15,79.93,85,95,4.38,overcast clouds
337,Iberia,US,29.9502,-91.7507,89.67,66,0,10.36,clear sky
338,Uruzgan,AF,32.8333,66.0,78.24,32,0,1.79,clear sky
339,Yarada,IN,17.65,83.2667,79.12,100,75,3.44,mist
340,Khani,GE,41.9563,42.9566,63.97,99,100,1.68,overcast clouds
341,Ryotsu,JP,38.0833,138.4333,72.81,95,100,7.52,moderate rain
342,Chapais,CA,49.7834,-74.8492,72.97,54,81,5.28,broken clouds
343,Mumford,GH,5.2618,-0.759,74.43,85,90,9.57,overcast clouds
344,Klyuchevskiy,RU,53.5317,119.4519,69.42,59,0,3.27,clear sky
345,Colac,AU,-38.3333,143.5833,46.83,58,54,8.41,broken clouds
346,Olafsvik,IS,64.8945,-23.7142,52.95,77,98,7.81,light rain
347,Flinders,AU,-34.5833,150.8552,53.19,68,61,11.99,light rain
348,Faya,SA,18.3851,42.4509,64.92,39,62,4.14,broken clouds
349,The Valley,AI,18.217,-63.0578,82.09,72,3,19.3,clear sky
350,Oussouye,SN,12.485,-16.5469,80.08,73,89,5.82,overcast clouds
351,Port Blair,IN,11.6667,92.75,81.12,85,99,7.83,overcast clouds
352,Hami,CN,42.8,93.45,80.35,29,96,3.13,overcast clouds
353,Chanika,TZ,-5.4167,38.0167,62.49,95,63,6.44,broken clouds
354,Frauenfeld,CH,47.5582,8.8985,69.21,73,4,2.3,clear sky
355,Poum,NC,-20.2333,164.0167,75.58,84,69,7.81,broken clouds
356,College,US,64.8569,-147.8028,61.59,70,75,16.11,light rain
357,Sovetskiy,RU,61.3614,63.5842,60.24,58,1,2.26,clear sky
358,Minbu,MM,20.1833,94.8833,81.05,77,100,8.28,overcast clouds
359,Yangjiang,CN,21.85,111.9667,84.36,84,100,8.1,overcast clouds
360,Soyo,AO,-6.1349,12.3689,70.0,90,19,5.35,few clouds
